===2018-07-27 09:26:02.593 INFO  com.kingtechfin.wxthirdparty.WxthirdpartyApplication Line:50  - Starting WxthirdpartyApplication on DESKTOP-8STST05 with PID 34564 (started by CaiShunfeng in C:\Users\CaiShunfeng\Desktop\微信第三方\wxthirdparty)
===2018-07-27 09:35:32.884 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:57  - RESPONSE : {"message":"服务正常","result":{"authorizerAppid":"wx3a325cf730413730","authorizerRefreshToken":"refreshtoken@@@Ho3Iufx5RHqiLMjHo-r5EZDJm6LgfRnyHSyKITU_cQI","id":1022409946237091841,"nickName":"金证前海Test","orgId":1,"principalName":"深圳市金证前海金融科技有限公司","serviceType":2,"signature":"金证前海Test","userName":"gh_955672f3d8f2","verifyType":0},"status":0,"timestamp":"2018-07-27 09:35:32.884"}
===2018-07-27 09:35:32.884 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:58  - ########################### RESPONSE END ###############################
===2018-07-27 09:35:33.273 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:34  - ########################### REQUEST BEGIN ###############################
===2018-07-27 09:35:33.274 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:35  - URL : http://127.0.0.1:8889/wx_manager_msg/wx_get_msg_list
===2018-07-27 09:35:33.275 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:36  - HTTP_METHOD : POST
===2018-07-27 09:35:33.276 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:37  - IP : 127.0.0.1
===2018-07-27 09:35:33.276 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:51  - PARAM[0] : {"orgId":"1","msgType":"r","g_funcid":"800901"}
===2018-07-27 09:35:33.435 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:57  - RESPONSE : {"message":"服务正常","result":{"wxMsgInfo":[{"authorizerAppid":"wx3a325cf730413730","content":"h","createTime":1532596612,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022410406167691265,"msgId":6582452327006779118,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"t","createTime":1532596648,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022410590675124226,"msgId":6582452481625601782,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"t","createTime":1532596666,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022410630999162882,"msgId":6582452558935013117,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"y","createTime":1532597186,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022412810011394050,"msgId":6582454792318007144,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"y","createTime":1532597729,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022415090542551042,"msgId":6582457124485248997,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"iii","createTime":1532597799,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022417708803280898,"msgId":6582457425132959732,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"I'll","createTime":1532598377,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022417815527346177,"msgId":6582459907624056907,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"f","createTime":1532598447,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022418101343997953,"msgId":6582460208271767648,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"r","createTime":1532598491,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022418285868208130,"msgId":6582460397250328683,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"1","createTime":1532598608,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022418777499357186,"msgId":6582460899761502335,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"e","createTime":1532598617,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022418813662646274,"msgId":6582460938416208001,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"t","createTime":1532598846,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022419772736393218,"msgId":6582461921963718828,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"t ","createTime":1532599050,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022420630370897922,"msgId":6582462798137047245,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"rrr ","createTime":1532599067,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022420701997027329,"msgId":6582462871151491279,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"ggf ","createTime":1532599073,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022420725254443009,"msgId":6582462896921295057,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"y","createTime":1532600052,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022424833017368578,"msgId":6582467101694278029,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"t ","createTime":1532600067,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022424897240551425,"msgId":6582467166118787477,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"y","createTime":1532600381,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022426210795900929,"msgId":6582468514738518470,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"e","createTime":1532600455,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022426524961853441,"msgId":6582468832566098389,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"huh","createTime":1532600485,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022426647938846721,"msgId":6582468961415117284,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"h","createTime":1532600556,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022426947844165633,"msgId":6582469266357795312,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"},{"authorizerAppid":"wx3a325cf730413730","content":"123123","createTime":1532600579,"favorite":0,"fromCity":"汕尾","fromHeadImgUrl":"http://thirdwx.qlogo.cn/mmopen/UDa9R1yl9UYHdC6ohfsRHTjTp4nLvNP6X8tlAqXOwQOicPSD6Puh9FIH9pj0gsmjX55G0cEYeDIicAOopPp7W3BRVTb0P9grX5/132","fromName":"啤酒黑咖啡","fromSex":"男","fromUser":"ogRgp0iqYt4NSkD56xX8bdDBjl8Q","id":1022427043994390529,"msgId":6582469365142043126,"msgTransmitType":"r","msgType":"text","replied":0,"toUser":"gh_955672f3d8f2"}],"wxVipcnAuthInfo":{"authorizerAppid":"wx3a325cf730413730","authorizerRefreshToken":"refreshtoken@@@Ho3Iufx5RHqiLMjHo-r5EZDJm6LgfRnyHSyKITU_cQI","id":1022409946237091841,"nickName":"金证前海Test","orgId":1,"principalName":"深圳市金证前海金融科技有限公司","serviceType":2,"signature":"金证前海Test","userName":"gh_955672f3d8f2","verifyType":0}},"status":0,"timestamp":"2018-07-27 09:35:33.426"}
===2018-07-27 09:35:33.440 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:58  - ########################### RESPONSE END ###############################
===2018-07-27 09:37:17.854 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:34  - ########################### REQUEST BEGIN ###############################
===2018-07-27 09:37:17.855 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:35  - URL : http://127.0.0.1:8889/wx_auth/wx_get_vipcn_info
===2018-07-27 09:37:17.855 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:36  - HTTP_METHOD : POST
===2018-07-27 09:37:17.856 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:37  - IP : 127.0.0.1
===2018-07-27 09:37:17.856 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:51  - PARAM[0] : {"orgId":1,"objcode":800901,"g_funcid":800901}
===2018-07-27 09:37:17.862 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:57  - RESPONSE : {"message":"服务正常","result":{"authorizerAppid":"wx3a325cf730413730","authorizerRefreshToken":"refreshtoken@@@Ho3Iufx5RHqiLMjHo-r5EZDJm6LgfRnyHSyKITU_cQI","id":1022409946237091841,"nickName":"金证前海Test","orgId":1,"principalName":"深圳市金证前海金融科技有限公司","serviceType":2,"signature":"金证前海Test","userName":"gh_955672f3d8f2","verifyType":0},"status":0,"timestamp":"2018-07-27 09:37:17.862"}
===2018-07-27 09:37:17.862 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:58  - ########################### RESPONSE END ###############################
===2018-07-27 09:37:18.062 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:34  - ########################### REQUEST BEGIN ###############################
===2018-07-27 09:37:18.063 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:35  - URL : http://127.0.0.1:8889/wx_manager_msg/wx_get_msg_list
===2018-07-27 09:37:18.063 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:36  - HTTP_METHOD : POST
===2018-07-27 09:37:18.063 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:37  - IP : 127.0.0.1
===2018-07-27 09:37:18.064 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:51  - PARAM[0] : {"orgId":"1","msgType":"r","g_funcid":"800901"}
===2018-07-27 09:37:18.080 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:57  - RESPONSE : {"message":"服务正常","result":{"wxMsgInfo":[],"wxVipcnAuthInfo":{"authorizerAppid":"wx3a325cf730413730","authorizerRefreshToken":"refreshtoken@@@Ho3Iufx5RHqiLMjHo-r5EZDJm6LgfRnyHSyKITU_cQI","id":1022409946237091841,"nickName":"金证前海Test","orgId":1,"principalName":"深圳市金证前海金融科技有限公司","serviceType":2,"signature":"金证前海Test","userName":"gh_955672f3d8f2","verifyType":0}},"status":0,"timestamp":"2018-07-27 09:37:18.080"}
===2018-07-27 09:37:18.080 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:58  - ########################### RESPONSE END ###############################
===2018-07-27 09:37:20.285 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:34  - ########################### REQUEST BEGIN ###############################
===2018-07-27 09:37:20.286 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:35  - URL : http://127.0.0.1:8889/wx_auth/wx_get_vipcn_info
===2018-07-27 09:37:20.287 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:36  - HTTP_METHOD : POST
===2018-07-27 09:37:20.287 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:37  - IP : 127.0.0.1
===2018-07-27 09:37:20.288 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:51  - PARAM[0] : {"orgId":1,"objcode":800901,"g_funcid":800901}
